Date,Year,T&M Count,T&M Value,T&M Count - Cumulative,T&M Value - Cumulative,OTC Count,OTC Value,Add-on Value,OTC + Add-on Value,OTC Count - Cumulative,OTC Value - Cumulative,Add-on Value - Cumulative,OTC + Add-on Value - Cumulative,T&M + OTC Count,T&M + OTC Value,T&M + OTC Count - Cumulative,T&M + OTC Value - Cumulative,T&M + OTC + Add-on Value,T&M + OTC + Add-on Value - Cumlative
1/1-1/7,2017,0,0,0,0,0,0.00,659.00,659.00,0,0,659.00,659,0,0.00,0,0,659.00,659.00
1/8-1/14,2017,1,975,1,975,0,0.00,610.00,610.00,0,0,1269,1269,1,975.00,1,975,1585.00,2244.00
1/15-1/21,2017,0,0,1,975,0,0.00,2116.00,2116.00,0,0,3385,3385,0,0.00,1,975,2116.00,4360.00
1/22-1/28,2017,0,0,1,975,0,0.00,4668.00,4668.00,0,0,8053,8053,0,0.00,1,975,4668.00,9028.00
1/29 - 2/4,2017,0,0,1,975,0,0.00,283.00,283.00,0,0,8336,8336,0,0.00,1,975,283.00,9311.00
2/5-2/11,2017,0,0,1,975,0,0.00,917.00,917.00,0,0,9253,9253,0,0.00,1,975,917.00,10228.00
2/12-2/18,2017,1,2030,2,3005,1,675.00,3020.50,3695.50,1,675,12273.5,12948.5,2,2705.00,3,3680,5725.50,15953.50
2/19-2/25,2017,0,0,2,3005,0,0.00,330.00,330.00,1,675,12603.5,13278.5,0,0.00,3,3680,330.00,16283.50
2/26-3/4,2017,2,2121,4,5126,4,1683.00,3382.00,5065.00,5,2358,15985.5,18343.5,6,3804.00,9,7484,7186.00,23469.50
3/5-3/11,2017,6,7802,10,12928,0,0.00,145.00,145.00,5,2358,16130.5,18488.5,6,7802.00,15,15286,7947.00,31416.50
3/12-3/18,2017,1,742,11,13670,1,360.00,1469.00,1829.00,6,2718,17599.5,20317.5,2,1102.00,17,16388,2571.00,33987.50
3/19-3/25,2017,2,2457,13,16127,2,660.00,1500.50,2160.50,8,3378,19100,22478,4,3117.00,21,19505,4617.50,38605.00
3/26-4/1,2017,10,12288,23,28415,2,700.00,1984.00,2684.00,10,4078,21084,25162,12,12988.00,33,32493,14972.00,53577.00
4/2-4/8,2017,14,14364,37,42779,1,360.00,5.00,365.00,11,4438,21089,25527,15,14724.00,48,47217,14729.00,68306.00
4/9-4/15,2017,31,34189,68,76968,5,4373.00,-21.00,4352.00,16,8811,21068,29879,36,38562.00,84,85779,38541.00,106847.00
4/16-4/22,2017,19,16393,87,93361,7,5775.00,10193.00,15968.00,23,14586,31261,45847,26,22168.00,110,107947,32361.00,139208.00
4/23-4/29,2017,34,32579,121,125940,13,4695.00,12218.00,16913.00,36,19281,43479,62760,47,37274.00,157,145221,49492.00,188700.00
4/30-5/6,2017,54,54077,175,180017,26,12446.00,21076.00,33522.00,62,31727,64555,96282,80,66523.00,237,211744,87599.00,276299.00
5/7-5/13,2017,65,57721,240,237738,8,3060.00,9265.00,12325.00,70,34787,73820,108607,73,60781.00,310,272525,70046.00,346345.00
5/14-5/20,2017,54,49423,294,287161,11,8987.00,12119.25,21106.25,81,43774,85939.25,129713.25,65,58410.00,375,330935,70529.25,416874.25
5/21-5/27,2017,49,42701,343,329862,5,2055.00,4911.00,6966.00,86,45829,90850.25,136679.25,54,44756.00,429,375691,49667.00,466541.25
5/28-6/3,2017,46,35376,389,365238,7,3560.00,6921.00,10481.00,93,49389,97771.25,147160.25,53,38936.00,482,414627,45857.00,512398.25
6/4-6/10,2017,34,27327,423,392565,3,975.00,298.00,1273.00,96,50364,98069.25,148433.25,37,28302.00,519,442929,28600.00,540998.25
6/11-6/17,2017,45,32172,468,424737,5,2188.00,1421.00,3609.00,101,52552,99490.25,152042.25,50,34360.00,569,477289,35781.00,576779.25
6/18-6/24,2017,26,17957,494,442694,3,1125.00,2275.00,3400.00,104,53677,101765.25,155442.25,29,19082.00,598,496371,21357.00,598136.25
6/25-7/1,2017,19,13397.5,513,456091.5,0,0.00,765.00,765.00,104,53677,102530.25,156207.25,19,13397.50,617,509768.5,14162.50,612298.75
